LON,LAT,NUMBER,STREET,UNIT,CITY,DISTRICT,REGION,POSTCODE,ID,HASH
-122.2607136,37.8632048,2550,DANA ST,,BERKELEY,,,94704,055 183213100,29adde543ce77829
-122.2894341,37.8556915,1012,GRAYSON ST,A,BERKELEY,,,94710,053 166004000,c177338841c6ef79
-122.2894341,37.8556915,1012,GRAYSON ST,C,BERKELEY,,,94710,053 166004200,8bc0fbe83c6df548
-122.2947031,37.8707409,1813,NINTH ST,,BERKELEY,,,94710,057 209002100,8faa530f19246223
-122.2893903,37.8707991,1901,CURTIS ST,,BERKELEY,,,94702,057 208303100,5c07b797bead947f
-122.2698862,37.8482918,1829,SIXTY-THIRD ST,,BERKELEY,,,94703,052 152702400,7b3eb50098087935
-122.2533533,37.8562407,2641,WEBSTER ST,1,BERKELEY,,,94705,052 157310800,73db41ab456d64b0
-122.2823898,37.8509897,1314,HASKELL ST,A,BERKELEY,,,94702,052 151603400,a342002b3a77734d
-122.2608109,37.8636959,2522,DANA ST,101,BERKELEY,,,94704,055 183203100,459b4536dbec84e4
-122.2788762,37.8688956,2122,JEFFERSON AVE,,BERKELEY,,,94703,056 200500400,acd36f118e936a9b
-122.2726208,37.8754813,1917,FRANCISCO ST,,BERKELEY,,,94709,058 217002900,37d5a25b4ad3a55b
-122.2911416,37.8740066,1646,CORNELL AVE,,BERKELEY,,,94702,059 228904100,7fdc9e8fdb0b867d
-122.2907976,37.8740245,1645,CORNELL AVE,,BERKELEY,,,94702,059 229005800,e4f96de92860d7a6
-122.2708655,37.8759629,1709,MILVIA ST,,BERKELEY,,,94709,058 217502700,a30fc2b628b734ec
-122.2639252,37.8775321,2301,VIRGINIA ST,1,BERKELEY,,,94709,058 218703800,201ddd9a195433e4
-122.2658701,37.8868742,1176,ARCH ST,,BERKELEY,,,94708,061 255604400,55d2ce7d1900a40c
-122.2627131,37.8877866,1178,EUCLID AVE,1,BERKELEY,,,94708,061 255105800,f329392eb1eaa14e
-122.2561129,37.8569238,2515,ASHBY AVE,2,BERKELEY,,,94705,052 157003500,974d6673f970e586
-122.2586613,37.8568381,2928,FLORENCE ST,B,BERKELEY,,,94705,052 157202400,50b9a1d3d3639112
-122.2628553,37.8566514,2914,DEAKIN ST,A2,BERKELEY,,,94705,052 158102500,9ded27448febaa7e
-122.2921601,37.856885,928,CARLETON ST,,BERKELEY,,,94710,054 174702500,160cafe6268bf737
-122.252474,37.857742,2723,ASHBY PL,B,BERKELEY,,,94705,052 156708000,131f9eb31e713edf
-122.2675493,37.881725,1412,OXFORD ST,,BERKELEY,,,94709,059 225804000,9e4f475721342e15
-122.2713128,37.8815547,2006,ROSE ST,,BERKELEY,,,94709,059 226503900,17dd0b8634f8c6d2
-122.2625202,37.859738,2234,WARD ST,1,BERKELEY,,,94705,054 171703000,a2f58f6e9f38aca6
-122.2731859,37.8610816,1812,PARKER ST,,BERKELEY,,,94703,054 181202800,d0eca7ce896324ed
-122.2657643,37.8820124,1411,SPRUCE ST,1,BERKELEY,,,94709,059 225402900,e74a9abd64656129
-122.2945824,37.8676064,933,ADDISON ST,E,BERKELEY,,,94710,056 197202100,50dc227671404f29
-122.2967843,37.8641757,2228,SIXTH ST,,BERKELEY,,,94710,056 196301800,72fa8455f049673a
-122.2914192,37.8714984,1128,DELAWARE ST,,BERKELEY,,,94702,057 208604300,6872920a84217a88
-122.2908917,37.8715551,1140,DELAWARE ST,1,BERKELEY,,,94702,057 208605900,65176fda7798156f
-122.2510544,37.8636062,2611,PIEDMONT AVE,1,BERKELEY,,,94704,055 185205000,4c918e18f8fa2757
-122.2602174,37.864225,2403,BLAKE ST,,BERKELEY,,,94704,055 183803200,dd2fd1708adde810
-122.2857791,37.8520798,1214,ASHBY AVE,A,BERKELEY,,,94702,053 162704000,610ce0576d797f41
-122.249269,37.8540511,2842,WOOLSEY ST,1,BERKELEY,,,94705,052 156320900,e391d53a1ac59cca
-122.2491752,37.8548479,2820,PRINCE ST,,BERKELEY,,,94705,052 156319700,7e987f30eeb39c79
-122.2516987,37.8552194,2725,PRINCE ST,1,BERKELEY,,,94705,052 156407500,7a957dc6a8fd6655
-122.276873,37.8740059,1721,DELAWARE ST,,BERKELEY,,,94703,058 215904100,aa412ff546660b93
-122.272065,37.8750002,1926,FRANCISCO ST,,BERKELEY,,,94709,058 216903400,9ede2fbb6c202895
-122.2837339,37.8678077,1401,ACTON CRES,,BERKELEY,,,94702,056 199706800,658ce8e149c6e7b5
-122.2533518,37.8582277,2900,COLLEGE AVE,,BERKELEY,,,94705,052 156804800,debe8a4b7d511189
-122.2649636,37.8581374,2141,OREGON ST,1,BERKELEY,,,94705,053 168503900,15fedb2091348928
-122.2821984,37.8650989,2315,EDWARDS ST,,BERKELEY,,,94702,056 191503400,0cf67e7b1fc3b52d
-122.2612817,37.8661926,2406,DANA ST,A,BERKELEY,,,94704,055 188303000,8f4d5c5da2cff493
-122.273567,37.8740156,1846,DELAWARE ST,1,BERKELEY,,,94703,057 206403300,12e529d1241ba548
-122.2632893,37.8750028,2326,LE CONTE AVE,1,BERKELEY,,,94709,058 219001700,c5a4068b9c62e480
-122.2957302,37.8758658,1020,JONES ST,,BERKELEY,,,94710,059 231102300,2cb6b53d470f759e
-122.2715725,37.876563,1642,MILVIA ST,1,BERKELEY,,,94709,058 217203300,9ec3e05822c78c6e
-122.2672965,37.8881287,2216,LOS ANGELES AVE,,BERKELEY,,,94707,061 255704200,d75925be485e3164
-122.2562453,37.8876242,2792,SHASTA RD,,BERKELEY,,,94708,063 299101400,64f5a6871bb15466
-122.2526702,37.8564098,2987,COLLEGE AVE,,BERKELEY,,,94705,052 156708700,c0860cd57226762f
-122.2447155,37.8559557,51,OAKVALE AVE,,BERKELEY,,,94705,064 423803700,a62adcca9a71d112
-122.2539692,37.8574494,2927,BENVENUE AVE,,BERKELEY,,,94705,052 156802300,306ff18122e4513c
-122.2546904,37.8579965,2906,BENVENUE AVE,,BERKELEY,,,94705,052 156903200,e537d2d4de683a9c
-122.2953207,37.8726598,1711,NINTH ST,,BERKELEY,,,94710,058 212603000,104f3c6c760cc5d0
-122.2668728,37.8817224,1417,OXFORD ST,1,BERKELEY,,,94709,059 225704100,598969d20e1a619e
-122.2914156,37.881804,1241,EVELYN AVE,,BERKELEY,,,94706,060 240907100,08abe8ab50e96835
-122.2761248,37.872659,1732,HEARST AVE,1,BERKELEY,,,94703,057 206204300,7ddd0040a719e934
-122.2917937,37.8631788,2330,TENTH ST,,BERKELEY,,,94710,056 193403200,7c3ad78c9a9c61ac
-122.2619589,37.8634817,2316,BLAKE ST,A,BERKELEY,,,94704,055 183204100,582c29695186b3e1
-122.2581244,37.877515,2611,LE CONTE AVE,,BERKELEY,,,94709,058 220603400,12cff22609006de6
-122.2869539,37.8782036,1328,ADA ST,,BERKELEY,,,94702,060 242310000,c49fa6939723b60f
-122.298176,37.879134,1320,NINTH ST,,BERKELEY,,,94710,060 235100300,2be7712b3d0c6f2a
-122.2814618,37.8816592,1578,HOPKINS ST,,BERKELEY,,,94707,060 243402300,c2671141eff60104
-122.2686713,37.8880853,1124,OXFORD ST,,BERKELEY,,,94707,061 255805900,f449e74aaa27db4f
-122.2794965,37.8908749,910,COLUSA AVE,2,BERKELEY,,,94707,061 261202200,34063c8f8222fe11
-122.279986,37.8693624,2106,CALIFORNIA ST,,BERKELEY,,,94703,056 200203700,6c50779ee08a6c7b
-122.2800364,37.8699341,1545,ADDISON ST,,BERKELEY,,,94703,056 200303700,beb8ae67737d2f50
-122.288348,37.8786142,1309,HOPKINS ST,,BERKELEY,,,94702,060 241607800,343e8d2b71b5d03f
-122.3035035,37.8798848,1231,FOURTH ST,A,BERKELEY,,,94710,060 236002200,0c032675e1cd8005
-122.2953394,37.8812424,1230,KAINS AVE,,BERKELEY,,,94706,060 240503200,ff54434eacf4be49
-122.273567,37.8740156,1846,DELAWARE ST,3,BERKELEY,,,94703,057 206403500,b54841f132fbe280
-122.2561276,37.8595283,2804,HILLEGASS AVE,3,BERKELEY,,,94705,053 169303400,87a6ea37b5da3bda
-122.2621365,37.8634607,2314,BLAKE ST,,BERKELEY,,,94704,055 183202900,00b10b332381d820
-122.2516983,37.8609793,2741,GARBER ST,2,BERKELEY,,,94705,054 170701600,dc7b3e299909854c
-122.2617672,37.8773889,2444,VIRGINIA ST,B,BERKELEY,,,94709,058 219301700,501ab4bd36205be8
-122.263489,37.8587054,2210,STUART ST,1,BERKELEY,,,94705,053 168803400,9fa9295a96100b7d
-122.2561056,37.859322,2808,HILLEGASS AVE,A1,BERKELEY,,,94705,053 169303600,bc6a0f805627322a
-122.2545397,37.8627505,2623,BENVENUE AVE,A,BERKELEY,,,94704,055 184504500,3c9eb3efd56ff2c5
-122.2712044,37.8646599,1921,HASTE ST,,BERKELEY,,,94704,055 189902800,2b97a3e34279ed81
-122.2809785,37.8725682,1521,HEARST AVE,,BERKELEY,,,94703,057 206702900,5af7f25d49e1a5bf
-122.2895231,37.8733206,1207,FRANCISCO ST,,BERKELEY,,,94702,058 213303000,8fcde90fcc1411ca
-122.2887006,37.8718399,1232,DELAWARE ST,,BERKELEY,,,94702,057 208203500,5245b9c8c1924340
-122.2759983,37.8645632,1718,CHANNING WAY,,BERKELEY,,,94703,055 190703200,852e5811a384d161
-122.2632861,37.8777114,2365,VIRGINIA ST,1,BERKELEY,,,94709,058 218702900,fe677cb59f244909
-122.2990841,37.8704076,800,DELAWARE ST,1-1,BERKELEY,,,94710,057 209802000,b1e0458c6897f71b
-122.2533157,37.8637058,2601,COLLEGE AVE,107,BERKELEY,,,94704,055 184803400,a195722418f2a40a
